protId	avgScore	totall
P04083	491.387039976458	1474.16111992937
P07202	346.114937949563	1384.45975179825
P02751	341.040631149029	341.040631149029
P04075	333.023668958238	333.023668958238
P17931	263.519604535068	790.558813605206
Q14764	245.475575479915	736.426726439746
Q96AE4	196.830331359873	393.660662719745
P12277	182.533474866555	182.533474866555
P23381	181.853370226511	181.853370226511
P25705	146.875401717445	146.875401717445
P12429	135.619803211631	135.619803211631
Q07065	133.441750216102	133.441750216102
P52272	121.257919340252	121.257919340252
P27695	120.197181580926	120.197181580926
Q9HCC0	117.914493938952	235.828987877904
P06702	113.708332733893	113.708332733893
P46778	111.329628359736	445.318513438942
Q9Y2Q3	108.667780182734	108.667780182734
Q15056	108.186382809118	108.186382809118
P11142	105.704304345015	105.704304345015
Q9NTK5	105.700630902529	105.700630902529
P00568	104.844772206236	104.844772206236
Q71UM5	101.631123088025	203.262246176049
P61353	100.627490392644	201.254980785288
P05387	95.3632165262983	95.3632165262983
O15067	91.5242934660775	91.5242934660775
P02743	90.5209711801173	271.562913540352
P60866	88.8859311135365	88.8859311135365
P06737	88.37773926926	88.37773926926
O75531	81.0828756186383	81.0828756186383
Q9GZT3	79.9289148161166	159.857829632233
O14498	79.8797569936384	159.759513987277
P47756	78.6934072316204	78.6934072316204
O75083	76.0718207743214	152.143641548643
O94875	72.1152232382695	72.1152232382695
Q92506	67.7810328944071	67.7810328944071
O60504	57.6141992862317	115.228398572463
P46940	56.3129686490813	56.3129686490813
Q9HDC9	54.281958183048	54.281958183048
P10909	51.02841965735	153.08525897205
P61978	50.8951404823058	50.8951404823058
P08294	48.9324321818007	48.9324321818007
P53999	47.856095724183	47.856095724183
P49207	46.1912919330232	46.1912919330232
P23526	44.4227357158809	44.4227357158809
P02787	43.9411675535303	87.8823351070605
P02750	42.7626872568472	42.7626872568472
Q99584	36.2901262895415	36.2901262895415
P19827	34.4745480790685	34.4745480790685
P07355	34.2259425259127	34.2259425259127
P39023	31.2849573414083	31.2849573414083
P13797	28.2317560738068	28.2317560738068
P51888	25.2372140126552	50.4744280253104
P02452	24.8840570808716	24.8840570808716
Q9Y4L1	23.2806933686124	23.2806933686124
Q6PCB0	22.5820374601303	22.5820374601303
P01034	20.7177527935563	41.4355055871125
Q13642	18.6129728223199	37.2259456446398
P02765	16.7396800216828	16.7396800216828
O60437	16.0424660835035	16.0424660835035
P20933	10.0411333461406	10.0411333461406
P62942	9.26944151785304	9.26944151785304
P07954	8.19054624829024	8.19054624829024
P26641	7.83271399892132	7.83271399892132
P01871	7.75094041263467	7.75094041263467
P00367	7.35876152232331	7.35876152232331
P22352	7.19185077719868	7.19185077719868
P20774	6.48619213407252	6.48619213407252
P04179	6.0889884098079	6.0889884098079
P12830	6.04997793654207	6.04997793654207
P62310	5.48383483760102	5.48383483760102
P00403	4.95578105465431	4.95578105465431
P61769	4.63623841887716	4.63623841887716
P60900	4.3855314538919	4.3855314538919
Q15149	4.30730374312233	4.30730374312233
P39019	4.24571366462803	4.24571366462803
P06744	3.8951667216048	3.8951667216048
P51571	3.1516378536791	3.1516378536791
P45880	3.09976663793527	3.09976663793527
P61970	2.22386998610349	2.22386998610349
P11021	2.1917215096651	2.1917215096651
P52597	0.200148992833818	0.200148992833818
