protId	score	label	symbol
P04083	956.079861181585	PM	ANXA1_HUMAN
P07202	816.500621716999	PM	PERT_HUMAN
Q14764	389.616424231752	PM	MVP_HUMAN
P17931	304.346570042365	PM	LEG3_HUMAN
P23381	181.853370226511	PM	SYWC_HUMAN
O60504	70.6489847683574	PM	VINEX_HUMAN
P46778	199.786476729129	PN	RL21_HUMAN
Q71UM5	155.476004748583	PN	RS27L_HUMAN
P07202	142.896924708722	PN	PERT_HUMAN
P61353	126.226955506011	PN	RL27_HUMAN
O75083	119.619666087039	PN	WDR1_HUMAN
P04083	97.4115881833995	PN	ANXA1_HUMAN
P08294	48.9324321818007	PN	SODE_HUMAN
P04083	420.66967056439	PA	ANXA1_HUMAN
P17931	381.384665622529	PA	LEG3_HUMAN
P02751	341.040631149029	PA	FINC_HUMAN
P07202	268.234138707276	PA	PERT_HUMAN
Q14764	233.74031339744	PA	MVP_HUMAN
P10909	74.722910980947	PA	CLUS_HUMAN
O60504	44.5794138041061	PA	VINEX_HUMAN
O60437	16.0424660835035	PA	PEPL_HUMAN
Q13642	15.3982886943163	PA	FHL1_HUMAN
P12277	182.533474866555	PC	KCRB_HUMAN
P07202	156.828066665254	PC	PERT_HUMAN
Q14764	113.069988810555	PC	MVP_HUMAN
P17931	104.827577940312	PC	LEG3_HUMAN
O94875	72.1152232382695	PC	SRBS2_HUMAN
P10909	64.901198240205	PC	CLUS_HUMAN
P07355	34.2259425259127	PC	ANXA2_HUMAN
Q9Y4L1	23.2806933686124	PC	HYOU1_HUMAN
Q13642	21.8276569503235	PC	FHL1_HUMAN
P20933	10.0411333461406	PC	ASPG_HUMAN
P07954	8.19054624829024	PC	FUMH_HUMAN
Q15149	4.30730374312233	PC	PLEC_HUMAN
P06744	3.8951667216048	PC	G6PI_HUMAN
P06702	113.708332733893	MN	S10A9_HUMAN
P02743	60.4860755016147	MN	SAMP_HUMAN
O14498	30.1791978206065	MN	ISLR_HUMAN
P01034	27.4641171511189	MN	CYTC_HUMAN
Q6PCB0	22.5820374601303	MN	VWA1_HUMAN
P51888	19.6428689130849	MN	PRELP_HUMAN
P02787	18.2204585225541	MN	TRFE_HUMAN
