protId	avgScore	totall	symbol
P07202	23.3013770896234	93.2055083584937	PERT_HUMAN
Q9Y2Q3	22.2392705229013	22.2392705229013	GSTK1_HUMAN
Q14764	17.014677071906	51.044031215718	MVP_HUMAN
Q07065	16.9764271030945	16.9764271030945	CKAP4_HUMAN
P02751	16.7579802322493	50.2739406967478	FINC_HUMAN
Q92506	14.4170827267706	28.8341654535412	DHB8_HUMAN
P04083	14.2353151545198	85.4118909271187	ANXA1_HUMAN
P60866	13.8663933790691	27.7327867581382	RS20_HUMAN
P47756	13.7822021971285	13.7822021971285	CAPZB_HUMAN
P02743	13.3324181445336	39.9972544336008	SAMP_HUMAN
P12277	13.0935229065353	39.2805687196058	KCRB_HUMAN
P46778	13.0721473690261	65.3607368451307	RL21_HUMAN
O14498	12.954774638288	25.9095492765759	ISLR_HUMAN
Q96AE4	12.7032867021839	25.4065734043677	FUBP1_HUMAN
O60504	12.2650461613773	36.7951384841318	VINEX_HUMAN
P06702	12.2532184806798	24.5064369613595	S10A9_HUMAN
Q9HCC0	11.5865623985103	46.3462495940413	MCCB_HUMAN
P17931	11.4455545241901	57.2277726209503	LEG3_HUMAN
P27695	11.3716236431375	11.3716236431375	APEX1_HUMAN
Q71UM5	11.2708267948789	56.3541339743946	RS27L_HUMAN
P61353	11.0177089250956	44.0708357003823	RL27_HUMAN
P52272	10.4322188709109	41.7288754836437	HNRPM_HUMAN
P02787	10.2831429523265	30.8494288569796	TRFE_HUMAN
P20700	10.1028322392245	40.4113289568982	LMNB1_HUMAN
P25705	10.0392252352834	20.0784504705667	ATPA_HUMAN
P07858	10.0283858062968	10.0283858062968	CATB_HUMAN
O94875	9.87814847976516	29.6344454392955	SRBS2_HUMAN
P10909	9.7265244063546	48.632622031773	CLUS_HUMAN
P12429	9.64793681577963	28.9438104473389	ANXA3_HUMAN
Q9NTK5	9.54712232457684	28.6413669737305	OLA1_HUMAN
P04075	9.49611158830346	18.9922231766069	ALDOA_HUMAN
P31930	9.45940475002018	9.45940475002018	QCR1_HUMAN
P05387	9.18513979395537	18.3702795879107	RLA2_HUMAN
P09382	9.06295883943477	36.2518353577391	LEG1_HUMAN
P01034	9.01258628512064	18.0251725702413	CYTC_HUMAN
P62241	9.00729191527826	18.0145838305565	RS8_HUMAN
Q96C19	8.97563136976603	26.9268941092981	EFHD2_HUMAN
P06737	8.72424925544294	8.72424925544294	PYGL_HUMAN
P00568	8.68883458673243	26.0665037601973	KAD1_HUMAN
P37802	8.60335912741116	25.8100773822335	TAGL2_HUMAN
P62913	8.39989744652593	25.1996923395778	RL11_HUMAN
Q9Y4L1	8.27233781148542	8.27233781148542	HYOU1_HUMAN
O43464	8.09080415421033	8.09080415421033	HTRA2_HUMAN
P04406	7.8522088304391	7.8522088304391	G3P_HUMAN
O00339	7.84451016170849	15.689020323417	MATN2_HUMAN
P35268	7.75830061328438	31.0332024531375	RL22_HUMAN
P01042	7.66914958469256	15.3382991693851	KNG1_HUMAN
P61978	7.63301837582866	22.899055127486	HNRPK_HUMAN
Q9P0M6	7.57404130238155	15.1480826047631	H2AW_HUMAN
P19827	7.56719432954508	15.1343886590902	ITIH1_HUMAN
Q13642	7.47854974811691	7.47854974811691	FHL1_HUMAN
P11142	7.41374981648559	22.2412494494568	HSP7C_HUMAN
O75531	7.39476607284858	14.7895321456972	BAF_HUMAN
P39059	7.30425481118547	7.30425481118547	COFA1_HUMAN
P08294	7.25015542614126	21.7504662784238	SODE_HUMAN
Q13409	7.01960918724041	7.01960918724041	DC1I2_HUMAN
Q6PCB0	6.98498525005617	20.9549557501685	VWA1_HUMAN
P23526	6.93972352771022	13.8794470554204	SAHH_HUMAN
O60437	6.91818563269902	20.7545568980971	PEPL_HUMAN
O75367	6.86159619389259	6.86159619389259	H2AY_HUMAN
P49773	6.80023262525767	6.80023262525767	HINT1_HUMAN
Q99584	6.7845319195259	20.3535957585777	S10AD_HUMAN
Q15056	6.77557591080726	6.77557591080726	IF4H_HUMAN
P02765	6.7187353999805	20.1562061999415	FETUA_HUMAN
Q14847	6.68249440865634	13.3649888173127	LASP1_HUMAN
Q99497	6.61144782527584	13.2228956505517	PARK7_HUMAN
P07339	6.58460325956394	6.58460325956394	CATD_HUMAN
P16219	6.48075439748816	6.48075439748816	ACADS_HUMAN
P11216	6.43500492811755	6.43500492811755	PYGB_HUMAN
P21397	6.34514883097159	6.34514883097159	AOFA_HUMAN
O15067	6.29537883523059	18.8861365056918	PUR4_HUMAN
P60900	6.2512822072904	12.5025644145808	PSA6_HUMAN
P02452	6.24055334783633	18.721660043509	CO1A1_HUMAN
P46940	6.19653796863161	24.7861518745264	IQGA1_HUMAN
P62851	6.19272959469361	12.3854591893872	RS25_HUMAN
Q92945	6.11060669547668	6.11060669547668	FUBP2_HUMAN
O00468	6.07473964668997	6.07473964668997	AGRIN_HUMAN
P62857	6.06692181527812	6.06692181527812	RS28_HUMAN
P62263	6.05618665677806	6.05618665677806	RS14_HUMAN
P49207	6.02441710105551	12.048834202111	RL34_HUMAN
P14618	6.01806824149397	18.0542047244819	KPYM_HUMAN
P30520	6.00540379462036	6.00540379462036	PURA2_HUMAN
Q15717	5.94871414554505	5.94871414554505	ELAV1_HUMAN
P55084	5.92698127224702	5.92698127224702	ECHB_HUMAN
P17844	5.85132323948419	11.7026464789684	DDX5_HUMAN
P05109	5.74817109200661	5.74817109200661	S10A8_HUMAN
Q15149	5.72838374360769	17.1851512308231	PLEC_HUMAN
P31939	5.71529892287155	11.4305978457431	PUR9_HUMAN
P27797	5.69317808128266	5.69317808128266	CALR_HUMAN
P23381	5.68267851154963	17.0480355346489	SYWC_HUMAN
P08865	5.6641554913037	11.3283109826074	RSSA_HUMAN
P51888	5.66280991826849	22.651239673074	PRELP_HUMAN
P52597	5.63577998886698	5.63577998886698	HNRPF_HUMAN
P22087	5.63039380251416	5.63039380251416	FBRL_HUMAN
P07355	5.62042522903788	11.2408504580758	ANXA2_HUMAN
P07737	5.59061334037875	5.59061334037875	PROF1_HUMAN
Q00610	5.468424856935	21.87369942774	CLH1_HUMAN
Q14195	5.46018260030578	16.3805478009173	DPYL3_HUMAN
P04080	5.39107122377043	16.1732136713113	CYTB_HUMAN
P13489	5.37363447552005	5.37363447552005	RINI_HUMAN
