protId	avgScore	totall	symbol
P17931	27.9263122417815	111.705248967126	LEG3_HUMAN
Q99797	18.0441051674796	18.0441051674796	MIPEP_HUMAN
Q16822	17.5437012419093	17.5437012419093	PCKGM_HUMAN
P07202	16.3624843390577	49.0874530171732	PERT_HUMAN
P06703	15.4658360067121	30.9316720134242	S10A6_HUMAN
O14907	15.4047034689484	46.2141104068453	TX1B3_HUMAN
Q96FF7	14.6596326007426	14.6596326007426	MISP3_HUMAN
O14498	14.4513416992748	72.2567084963741	ISLR_HUMAN
P63104	13.4534983844418	13.4534983844418	1433Z_HUMAN
P63279	13.444338392106	26.888676784212	UBC9_HUMAN
O60504	13.327043078592	53.308172314368	VINEX_HUMAN
Q96Q05	13.0944338989057	39.283301696717	TPPC9_HUMAN
P09382	12.530356872349	37.591070617047	LEG1_HUMAN
Q14247	12.3038779183007	36.9116337549021	SRC8_HUMAN
P02743	11.4945410341292	34.4836231023876	SAMP_HUMAN
Q9Y3Y2	10.9570376730111	10.9570376730111	CHTOP_HUMAN
O43264	10.5292667078074	10.5292667078074	ZW10_HUMAN
P17844	10.4889017367117	10.4889017367117	DDX5_HUMAN
O75083	10.3664931516005	10.3664931516005	WDR1_HUMAN
Q96DG6	10.0898059856766	10.0898059856766	CMBL_HUMAN
P35754	9.69489220112323	9.69489220112323	GLRX1_HUMAN
Q9BYX7	9.6779686718569	9.6779686718569	ACTBM_HUMAN
O00154	9.58739239145575	9.58739239145575	BACH_HUMAN
Q6UVK1	9.5510924733898	19.1021849467796	CSPG4_HUMAN
P42765	9.47316369595888	9.47316369595888	THIM_HUMAN
P25787	9.29739265015028	18.5947853003006	PSA2_HUMAN
P15121	9.24990639611287	9.24990639611287	ALDR_HUMAN
Q96AE4	9.1248524284197	45.6242621420985	FUBP1_HUMAN
P06702	9.0275717258182	9.0275717258182	S10A9_HUMAN
O14818	9.01429860047746	9.01429860047746	PSA7_HUMAN
Q969H8	9.00916454075345	9.00916454075345	MYDGF_HUMAN
Q14839	8.78150477625712	8.78150477625712	CHD4_HUMAN
Q04837	8.76194787836935	35.0477915134774	SSBP_HUMAN
P04075	8.73639565403903	8.73639565403903	ALDOA_HUMAN
O75506	8.70214494948981	8.70214494948981	HSBP1_HUMAN
P11142	8.66205547374154	34.6482218949662	HSP7C_HUMAN
P07355	8.55961254863972	25.6788376459192	ANXA2_HUMAN
P60174	8.55316605555234	17.1063321111047	TPIS_HUMAN
P61353	8.51105823855267	34.0442329542107	RL27_HUMAN
Q8NE62	8.47096399912535	8.47096399912535	CHDH_HUMAN
Q13425	8.39752330407479	8.39752330407479	SNTB2_HUMAN
Q6UX71	8.39695923564889	16.7939184712978	PXDC2_HUMAN
Q7Z3B4	8.38780097338894	8.38780097338894	NUP54_HUMAN
Q92506	8.32897997876328	8.32897997876328	DHB8_HUMAN
P16152	8.29604829593117	16.5920965918623	CBR1_HUMAN
P02787	8.2400357511237	24.7201072533711	TRFE_HUMAN
P04406	8.20267225213521	32.8106890085409	G3P_HUMAN
O95994	8.0876987864271	16.1753975728542	AGR2_HUMAN
P11586	8.04069612518294	8.04069612518294	C1TC_HUMAN
Q8NBJ4	8.03674617064655	8.03674617064655	GOLM1_HUMAN
Q6Y7W6	8.03107857770425	24.0932357331127	GGYF2_HUMAN
Q8TCS8	7.93252276574412	7.93252276574412	PNPT1_HUMAN
Q8WWC4	7.82106070525661	7.82106070525661	MAIP1_HUMAN
P49207	7.76320831434128	15.5264166286826	RL34_HUMAN
P31937	7.74017939939218	15.4803587987844	3HIDH_HUMAN
P01892	7.72797180476345	7.72797180476345	1A02_HUMAN
P43246	7.70721454949032	7.70721454949032	MSH2_HUMAN
Q9GZT3	7.70536466592213	15.4107293318443	SLIRP_HUMAN
P62263	7.69888477210759	38.494423860538	RS14_HUMAN
P55036	7.6475672442817	15.2951344885634	PSMD4_HUMAN
