protId	avgScore	totall
P17931	1037.17493908287	4148.69975633148
O14498	374.516294696192	1123.54888408858
O14907	324.197020135512	648.394040271024
P07202	234.951345802335	469.902691604669
P04406	222.79954455457	222.79954455457
P63104	211.054824712791	211.054824712791
P06703	198.117267649165	396.23453529833
P42126	183.0673514312	183.0673514312
Q96AE4	166.710201203684	500.130603611053
Q04837	162.701494045946	162.701494045946
Q99797	143.486419674048	143.486419674048
P53634	133.923902855833	133.923902855833
P60174	125.607957306512	251.215914613024
P25787	124.191319407537	124.191319407537
P11142	122.201105960484	366.603317881451
P62913	111.823446028438	111.823446028438
Q13425	111.292544925385	111.292544925385
Q14847	97.549556403254	97.549556403254
Q16822	94.8363121422443	189.672624284489
Q86UN3	91.7049111104517	91.7049111104517
P04075	88.4830699044736	88.4830699044736
Q9GZT3	70.81851366788	141.63702733576
O14818	65.6132379506112	65.6132379506112
P02743	64.8472161315194	194.541648394558
Q9P0M6	62.7536426485225	62.7536426485225
P37837	62.6024827236545	62.6024827236545
P49368	62.3061110238059	124.612222047612
P07355	57.3758401312436	57.3758401312436
Q08211	50.8507357870165	50.8507357870165
P52272	46.2411285181942	46.2411285181942
Q96K19	44.2471560302436	44.2471560302436
O15400	42.1926998707527	42.1926998707527
O95169	38.3088733015345	38.3088733015345
P61353	37.5501064587632	37.5501064587632
Q7L014	36.0732551873275	36.0732551873275
Q5VT66	35.5772125482148	35.5772125482148
P61960	35.4620988993785	35.4620988993785
P10606	35.3405047102919	35.3405047102919
Q92973	34.5882960950049	34.5882960950049
Q6UVK1	33.9399621144251	67.8799242288503
P02787	33.8734453226068	67.7468906452136
Q5HYK3	32.277609030606	32.277609030606
Q5JTZ9	31.226560829851	31.226560829851
P35754	30.8304551143296	30.8304551143296
Q02878	30.11462586106	30.11462586106
Q9Y383	29.5508614395957	29.5508614395957
P84085	29.5304159480483	59.0608318960966
O76062	29.2669609864727	29.2669609864727
P01766	27.1340351889751	27.1340351889751
P20774	26.3925873209518	26.3925873209518
P06702	26.0405620854168	26.0405620854168
P62314	25.8158968800147	25.8158968800147
P51159	25.5303319976671	25.5303319976671
P49207	24.6958525584108	24.6958525584108
P41240	24.1687118952245	24.1687118952245
P55036	23.8758670811972	23.8758670811972
P43246	23.6305054006663	23.6305054006663
Q00610	22.6737885120361	22.6737885120361
Q9BZ23	22.6308405635029	45.2616811270059
Q9Y3I0	20.8310236998219	20.8310236998219
P56537	20.6023040843673	20.6023040843673
P15880	19.5233868655181	19.5233868655181
O75880	18.504973313283	18.504973313283
Q4G0J3	17.4643485193563	17.4643485193563
P15121	17.1781059958592	17.1781059958592
P13798	16.5128789304857	16.5128789304857
O00499	15.4779389112691	15.4779389112691
O00483	14.755464463616	14.755464463616
Q14204	14.1881086477448	14.1881086477448
Q02218	13.6076279316408	13.6076279316408
Q7Z7M0	13.3382293356566	13.3382293356566
P50990	11.8632402383504	11.8632402383504
P04216	11.4206444854694	22.8412889709388
P43251	10.7575542171657	10.7575542171657
O75367	10.5862626883211	10.5862626883211
P09874	9.97352833762156	9.97352833762156
P31942	9.44765168373198	9.44765168373198
P35443	9.16522041676594	9.16522041676594
Q14165	7.90196380689242	7.90196380689242
P07357	6.91471931110229	6.91471931110229
P21796	6.5144798884021	6.5144798884021
Q14203	6.45940623091203	6.45940623091203
Q9Y3Y2	4.85967538983681	4.85967538983681
Q8IZQ5	3.85173224179148	3.85173224179148
Q709C8	3.08608903526157	3.08608903526157
Q9NZN4	2.96143820048188	2.96143820048188
O95563	2.69843441815594	2.69843441815594
P12814	1.95610964392514	1.95610964392514
Q8N129	1.91559745805073	1.91559745805073
Q96GW7	1.33084723443943	1.33084723443943
